word,count,length,different letters,vowels,consonants
alice,399,5,5,3,2
adventures,8,10,9,4,6
in,370,2,2,1,1
wonderland,4,10,8,3,7
lewis,1,5,5,2,3
carroll,1,7,5,2,5
the,1644,3,3,1,2
millennium,1,10,6,4,6
fulcrum,1,7,6,2,5
edition,1,7,6,4,3
chapter,12,7,7,2,5
down,102,4,4,1,3
rabbit,51,6,5,2,4
hole,5,4,4,2,2
was,357,3,3,1,2
beginning,14,9,5,3,6
to,729,2,2,1,1
get,46,3,3,1,2
very,144,4,4,1,3
tired,7,5,5,2,3
of,514,2,2,1,1
sitting,10,7,5,2,5
her,248,3,3,1,2
sister,9,6,5,2,4
on,193,2,2,1,1
bank,3,4,4,1,3
and,872,3,3,1,2
having,10,6,6,2,4
nothing,34,7,6,2,5
do,81,2,2,1,1
once,34,4,4,2,2
or,77,2,2,1,1
twice,5,5,5,2,3
she,553,3,3,1,2
had,178,3,3,1,2
peeped,3,6,3,3,3
into,67,4,4,2,2
book,11,4,3,2,2
reading,3,7,7,3,4
but,170,3,3,1,2
it,595,2,2,1,1
no,90,2,2,1,1
pictures,4,8,8,3,5
conversations,1,13,10,5,8
what,141,4,4,1,3
is,108,2,2,1,1
use,18,3,3,2,1
thought,74,7,5,2,5
without,26,7,6,3,4
conversation,10,12,10,5,7
so,151,2,2,1,1
considering,3,11,9,4,7
own,10,3,3,1,2
mind,11,4,4,1,3
as,263,2,2,1,1
well,63,4,3,1,3
could,77,5,5,2,3
for,153,3,3,1,2
hot,7,3,3,1,2
day,29,3,3,1,2
made,30,4,4,2,2
feel,8,4,3,2,2
sleepy,5,6,5,2,4
stupid,6,6,6,2,4
whether,11,7,5,2,5
pleasure,2,8,7,4,4
making,8,6,6,2,4
daisy,1,5,5,2,3
chain,1,5,5,2,3
would,83,5,5,2,3
be,148,2,2,1,1
worth,4,5,5,1,4
trouble,6,7,7,3,4
getting,22,7,5,2,5
up,100,2,2,1,1
picking,2,7,6,2,5
daisies,1,7,5,4,3
when,79,4,4,1,3
suddenly,13,8,7,2,6
white,30,5,5,2,3
with,180,4,4,1,3
pink,1,4,4,1,3
eyes,29,4,3,2,2
ran,16,3,3,1,2
close,13,5,5,2,3
there,99,5,4,2,3
remarkable,2,10,7,4,6
that,315,4,3,1,3
nor,3,3,3,1,2
did,63,3,2,1,2
think,53,5,5,1,4
much,51,4,4,1,3
out,117,3,3,2,1
way,56,3,3,1,2
hear,14,4,4,2,2
say,51,3,3,1,2
itself,14,6,6,2,4
oh,45,2,2,1,1
dear,29,4,4,2,2
shall,25,5,4,1,4
late,6,4,4,2,2
over,40,4,4,2,2
afterwards,2,10,8,3,7
occurred,2,8,6,3,5
ought,14,5,5,2,3
have,80,4,4,2,2
wondered,1,8,6,3,5
at,212,2,2,1,1
this,134,4,4,1,3
time,71,4,4,2,2
all,182,3,2,1,2
seemed,27,6,4,3,3
quite,55,5,5,3,2
natural,4,7,6,3,4
actually,1,8,6,3,5
took,24,4,3,2,2
watch,8,5,5,1,4
its,57,3,3,1,2
waistcoat,2,9,7,4,5
pocket,7,6,6,2,4
looked,45,6,5,3,3
then,94,4,4,1,3
hurried,11,7,6,3,4
started,2,7,6,2,5
feet,19,4,3,2,2
flashed,1,7,7,2,5
across,5,6,5,2,4
never,48,5,4,2,3
before,38,6,5,3,3
seen,15,4,3,2,2
either,10,6,5,3,3
take,22,4,4,2,2
burning,1,7,6,2,5
curiosity,5,9,8,4,5
field,1,5,5,2,3
after,43,5,5,2,3
fortunately,1,11,10,4,7
just,52,4,4,1,3
see,67,3,2,2,1
pop,1,3,2,1,2
large,33,5,5,2,3
under,16,5,5,2,3
hedge,2,5,4,2,3
another,22,7,7,3,4
moment,31,6,5,2,4
went,83,4,4,1,3
how,68,3,3,1,2
world,7,5,5,1,4
again,83,5,4,3,2
straight,2,8,7,2,6
like,85,4,4,2,2
tunnel,1,6,5,2,4
some,51,4,4,2,2
dipped,2,6,4,2,4
not,145,3,3,1,2
about,94,5,5,3,2
stopping,1,8,7,2,6
herself,83,7,6,2,5
found,32,5,5,2,3
falling,2,7,6,2,5
deep,7,4,3,2,2
fell,6,4,3,1,3
slowly,8,6,5,1,5
plenty,2,6,6,1,5
look,29,4,3,2,2
wonder,18,6,6,2,4
going,27,5,4,2,3
happen,8,6,5,2,4
next,30,4,4,1,3
first,51,5,5,1,4
tried,19,5,5,2,3
make,27,4,4,2,2
coming,9,6,6,2,4
too,26,3,2,2,1
dark,3,4,4,1,3
anything,20,8,7,2,6
sides,4,5,4,2,3
noticed,8,7,7,3,4
they,152,4,4,1,3
were,85,4,3,2,2
filled,3,6,5,2,4
cupboards,2,9,9,3,6
shelves,2,7,5,2,5
here,51,4,3,2,2
saw,14,3,3,1,2
maps,1,4,4,1,3
hung,1,4,4,1,3
upon,26,4,4,2,2
pegs,1,4,4,1,3
jar,2,3,3,1,2
from,36,4,4,1,3
one,104,3,3,2,1
passed,5,6,5,2,4
labelled,1,8,5,3,5
orange,1,6,6,3,3
marmalade,1,9,6,4,5
great,39,5,5,2,3
disappointment,1,14,10,5,9
empty,1,5,5,1,4
drop,1,4,4,1,3
fear,4,4,4,2,2
killing,1,7,5,2,5
somebody,7,8,7,3,5
managed,4,7,6,3,4
put,31,3,3,1,2
past,3,4,4,1,3
such,41,4,4,1,3
fall,7,4,3,1,3
tumbling,2,8,8,2,6
stairs,3,6,5,2,4
brave,1,5,5,2,3
me,68,2,2,1,1
home,5,4,4,2,2
wouldn,13,6,6,2,4
even,19,4,3,2,2
if,96,2,2,1,1
off,73,3,2,1,2
top,8,3,3,1,2
house,18,5,5,3,2
which,49,5,4,1,4
likely,5,6,5,2,4
